exp,trial,num_trials,crosses,P,tiempo
8,0,1,100000000,63661679,0.6366167900,2.765638
8,0,2,100000000,63660868,0.6366086800,2.751565
8,0,3,100000000,63660945,0.6366094500,2.770812
8,0,4,100000000,63663728,0.6366372800,2.813453
8,0,5,100000000,63661513,0.6366151300,2.813451
8,0,6,100000000,63662308,0.6366230800,2.742708
8,0,7,100000000,63660926,0.6366092600,2.790451
8,0,8,100000000,63659903,0.6365990300,2.773096
8,0,9,100000000,63661488,0.6366148800,2.767338
8,0,10,100000000,63662472,0.6366247200,2.807716
8,5,1,316227766,201314333,0.6366118180,8.783765
8,5,2,316227766,201315347,0.6366150245,8.632834
8,5,3,316227766,201316890,0.6366199039,8.666202
8,5,4,316227766,201318601,0.6366253146,8.693194
8,5,5,316227766,201317415,0.6366215641,8.628127
8,5,6,316227766,201317207,0.6366209063,8.722315
8,5,7,316227766,201316924,0.6366200114,8.642835
8,5,8,316227766,201317397,0.6366215072,8.683688
8,5,9,316227766,201317317,0.6366212542,8.602787
8,5,10,316227766,201316302,0.6366180445,8.674418
9,0,1,1000000000,636620646,0.6366206460,27.456168
9,0,2,1000000000,636618808,0.6366188080,27.497775
9,0,3,1000000000,636619467,0.6366194670,27.205205
9,0,4,1000000000,636620744,0.6366207440,27.205022
9,0,5,1000000000,636620690,0.6366206900,27.452758
9,0,6,1000000000,636620577,0.6366205770,27.505716
9,0,7,1000000000,636619328,0.6366193280,27.454903
9,0,8,1000000000,636617887,0.6366178870,27.183137
9,0,9,1000000000,636618701,0.6366187010,27.580437
9,0,10,1000000000,636618771,0.6366187710,27.526498
9,5,1,3162277660,2013166382,0.6366191076,86.008291
9,5,2,3162277660,2013169155,0.6366199845,87.044059
9,5,3,3162277660,2013166691,0.6366192053,86.821647
9,5,4,3162277660,2013169407,0.6366200642,86.515446
9,5,5,3162277660,2013168126,0.6366196591,86.862824
9,5,6,3162277660,2013169707,0.6366201591,86.814769
9,5,7,3162277660,2013165545,0.6366188430,87.030724
9,5,8,3162277660,2013164231,0.6366184274,87.154251
9,5,9,3162277660,2013169707,0.6366201591,86.165692
9,5,10,3162277660,2013168478,0.6366197704,87.261054
10,0,1,10000000000,6366199175,0.6366199175,275.555948
10,0,2,10000000000,6366200480,0.6366200480,275.896890
10,0,3,10000000000,6366200029,0.6366200029,275.505046
10,0,4,10000000000,6366200062,0.6366200062,274.641031
10,0,5,10000000000,6366193286,0.6366193286,274.734327
10,0,6,10000000000,6366199989,0.6366199989,274.815741
10,0,7,10000000000,6366191795,0.6366191795,274.604984
10,0,8,10000000000,6366192947,0.6366192947,274.643702
10,0,9,10000000000,6366199859,0.6366199859,275.547211
10,0,10,10000000000,6366192625,0.6366192625,275.695299
10,5,1,31622776602,20131690444,0.6366199495,872.608978
10,5,2,31622776602,20131670507,0.6366193191,868.398746
10,5,3,31622776602,20131691336,0.6366199777,873.092662
10,5,4,31622776602,20131668177,0.6366192454,862.171468
10,5,5,31622776602,20131691356,0.6366199784,865.561917
10,5,6,31622776602,20131689679,0.6366199253,863.642018
10,5,7,31622776602,20131694377,0.6366200739,873.346088
10,5,8,31622776602,20131690837,0.6366199619,873.199104
10,5,9,31622776602,20131690595,0.6366199543,874.862164
10,5,10,31622776602,20131670829,0.6366193292,863.048455
11,0,1,100000000000,63661927122,0.6366192712,2752.591930
11,0,2,100000000000,63661927069,0.6366192707,2747.787978
11,0,3,100000000000,63661998782,0.6366199878,2750.755158
11,0,4,100000000000,63661926597,0.6366192660,2728.516157
11,0,5,100000000000,63661978934,0.6366197893,2751.033829
11,0,6,100000000000,63661965482,0.6366196548,2753.418627
11,0,7,100000000000,63661981220,0.6366198122,2748.995461
11,0,8,100000000000,63661970531,0.6366197053,2752.678304
11,0,9,100000000000,63661997011,0.6366199701,2755.119742
11,0,10,100000000000,63661984125,0.6366198413,2749.407553